,id,latitude,line,longitude,name,transfer
111,111,55.601,6,37.5541,Novoyasenevskaya,[189]
112,112,55.8607,7,37.4364,Planernaya,[]
113,113,55.8505,7,37.4396,Skhodnenskaya,[]
114,114,55.8267,7,37.4368,Tushinskaya,[]
115,115,55.8182,7,37.4352,Spartak,[]
116,116,55.8086,7,37.4641,Shchukinskaya,[]
117,117,55.7935,7,37.4935,Oktyabrskoye Pole,[]
118,118,55.7775,7,37.5192,Polezhayevskaya,[]
119,119,55.7738,7,37.5468,Begovaya,[]
120,120,55.765,7,37.5613,Ulitsa 1905 Goda,[]
121,121,55.7612,7,37.5795,Barrikadnaya,[77]
122,122,55.765,7,37.6079,Pushkinskaya,"[28, 154]"
123,123,55.7606,7,37.6259,Kuznetsky Most,[8]
124,124,55.7553,7,37.6333,Kitay-gorod,[98]
125,125,55.7402,7,37.6522,Taganskaya,"[83, 137]"
126,126,55.7319,7,37.6659,Proletarskaya,[175]
127,127,55.7253,7,37.6869,Volgogradsky Prospekt,[]
128,128,55.7088,7,37.7316,Tekstilshchiki,[]
129,129,55.7056,7,37.7656,Kuzminki,[]
130,130,55.717,7,37.7933,Ryazansky Prospekt,[]
131,131,55.7156,7,37.8181,Vykhino,[]
132,132,55.7013,7,37.8525,Lermontovsky Prospekt,[]
133,133,55.6855,7,37.8563,Zhulebino,[]
134,134,55.7362,8,37.5182,Park Pobedy,[50]
135,135,55.7491,8,37.5395,Delovoy Tsentr,[71]
136,136,55.7412,8,37.6274,Tretyakovskaya,"[99, 30]"
137,137,55.7411,8,37.6543,Marksistskaya,"[83, 125]"
138,138,55.7472,8,37.6824,Ploshchad Ilyicha,[174]
139,139,55.7524,8,37.7191,Aviamotornaya,[]
140,140,55.7576,8,37.75,Shosse Entuziastov,[]
141,141,55.7511,8,37.7866,Perovo,[]
142,142,55.7517,8,37.8166,Novogireyevo,[]
143,143,55.7451,8,37.8638,Novokosino,[]
144,144,55.898,9,37.587,Altufyevo,[]
145,145,55.8838,9,37.6034,Bibirevo,[]
146,146,55.8633,9,37.6047,Otradnoye,[]
147,147,55.8473,9,37.5899,Vladykino,[]
148,148,55.8351,9,37.5745,Petrovsko-Razumovskaya,[]
149,149,55.8176,9,37.5765,Timiryazevskaya,[196]
150,150,55.8069,9,37.5817,Dmitrovskaya,[]
151,151,55.7927,9,37.5885,Savyolovskaya,[]
152,152,55.781,9,37.6011,Mendeleyevskaya,[79]
153,153,55.7708,9,37.6187,Tsvetnoy Bulvar,[171]
154,154,55.7644,9,37.6097,Chekhovskaya,"[28, 122]"
155,155,55.7511,9,37.6072,Borovitskaya,"[10, 53, 75]"
156,156,55.7379,9,37.618,Polyanka,[]
157,157,55.728,9,37.6246,Serpukhovskaya,[85]
158,158,55.7087,9,37.6229,Tulskaya,[]
159,159,55.683,9,37.6224,Nagatinskaya,[]
160,160,55.6724,9,37.6104,Nagornaya,[]
161,161,55.6627,9,37.6055,Nakhimovsky Prospekt,[]
162,162,55.6524,9,37.5984,Sevastopolskaya,[188]
163,163,55.6405,9,37.6067,Chertanovskaya,[]
164,164,55.6224,9,37.609,Yuzhnaya,[]
165,165,55.6124,9,37.6044,Prazhskaya,[]
166,166,55.5949,9,37.6004,Ulitsa Akademika Yangelya,[]
167,167,55.5828,9,37.5966,Annino,[]
168,168,55.5693,9,37.5769,Bulvar Dmitriya Donskogo,[191]
169,169,55.7954,10,37.6162,Maryina Roshcha,[]
170,170,55.7816,10,37.6151,Dostoyevskaya,[]
171,171,55.7688,10,37.62,Trubnaya,[153]
172,172,55.7668,10,37.6392,Sretensky Bulvar,"[7, 97]"
173,173,55.7565,10,37.6573,Chkalovskaya,"[55, 82]"
174,174,55.7463,10,37.6819,Rimskaya,[138]
175,175,55.7331,10,37.6673,Krestyanskaya Zastava,[126]
176,176,55.7186,10,37.676,Dubrovka,[]
177,177,55.7074,10,37.6851,Kozhukhovskaya,[]
178,178,55.6934,10,37.727,Pechatniki,[]
179,179,55.6909,10,37.753,Volzhskaya,[]
180,180,55.6758,10,37.7618,Lyublino,[]
181,181,55.6597,10,37.7505,Bratislavskaya,[]
182,182,55.65,10,37.7431,Maryino,[]
183,183,55.6334,10,37.7436,Borisovo,[]
184,184,55.6211,10,37.7437,Shipilovskaya,[]
185,185,55.6124,10,37.7453,Zyablikovo,[39]
186,186,55.6551,11,37.6487,Kashirskaya,[34]
187,187,55.6533,11,37.6194,Varshavskaya,[]
188,188,55.653,11,37.5983,Kakhovskaya,[162]
189,189,55.6004,12,37.5562,Bittsevsky Park,[111]
190,190,55.5821,12,37.5769,Lesoparkovaya,[]
191,191,55.569,12,37.5767,Ulitsa Starokachalovskaya,[168]
192,192,55.5481,12,37.5546,Ulitsa Skobelevskaya,[]
193,193,55.5455,12,37.543,Bulvar Admirala Ushakova,[]
194,194,55.5418,12,37.5308,Ulitsa Gorchakova,[]
195,195,55.538,12,37.5158,Buninskaya Alleya,[]
196,196,55.819,M1,37.5789,Timiryazevskaya,[149]
197,197,55.8218,M1,37.5911,Ulitsa Milashenkova,[]
198,198,55.8218,M1,37.6089,Teletsentr,[]
199,199,55.8218,M1,37.6269,Ulitsa Akademika Korolyova,[]
200,200,55.824,M1,37.6383,Vystavochny Tsentr,[92]
201,201,55.8292,M1,37.6449,Ulitsa Sergeya Eyzenshteyna,[]
